,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
1076,0.22792450393923613,0.3174156106304516,-0.6033789857086168,-0.760356374248886,-0.9810341298933545,0.20730665591596678,-1.0523199442825881,2.103521029398754,-0.8463575159450196,0.14603905136277473,-0.1642438102769864,-0.9416304344856733,fio
1366,0.19724848671993456,0.30248003226845316,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0445074250033133,1.9698911398752437,-0.8463575159450196,-0.18198339585112974,-0.1642438102769864,-0.9445107687121367,fio
1539,0.2016307748941204,0.3074585583891193,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.3781292920009985,-1.0401825915480207,2.118368794901366,-0.8463575159450196,-0.7363875319873063,-0.1642438102769864,-0.9406450569871464,fio
1938,0.221351071677957,0.31492634757011856,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0297916575643098,2.068876243225992,-0.8448118361604757,1.7561210633915876,-0.1642438102769864,-0.9394701838158258,fio
760,0.2410713684617936,0.31243708450978547,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0603462581877054,2.0144344363830804,-0.83669701729162,-0.459185463919218,-0.1642438102769864,-0.9432221981371399,fio
1723,0.2410713684617936,0.33235118899245053,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.09267455867238208,-1.035180312471083,2.0738254983935294,-0.8463575159450196,0.10445874115256149,-0.1642438102769864,-0.9419336275621432,fio
1040,0.21258649532958535,0.31492634757011856,-0.6033789857086168,-0.760356374248886,-1.0293312976549303,-0.13850502201226905,-1.0531493643973018,1.974840395042781,-0.8463575159450196,-0.5977864979532621,-0.1642438102769864,-0.9471637081312476,fio
426,0.24764480072307274,0.265141086363456,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.069168506302284,1.935246353702482,-0.8463575159450196,1.9363024076358448,-0.1642438102769864,-0.9427295093878765,fio
131,0.20820420715539953,0.028661095631807944,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.20730665591596678,-1.0770737557807195,2.093622519063679,-0.8463575159450196,0.04670831030504309,-0.1642438102769864,-0.9421231232349369,fio
2088,0.1862927662844696,0.3074585583891193,-0.5896949958828924,-0.753052984489517,-0.9810341298933545,0.19897384439962365,-1.0260232053039804,2.098571774231216,-0.836503807318552,0.9268248764212234,-0.1642438102769864,-0.9449276591922827,fio
23,0.17095475767481924,-0.1281624771691793,-0.5896949958828924,-0.760356374248886,-1.0293312976549303,0.20730665591596678,-1.0799097543717124,2.0243329467181552,-0.8463575159450196,0.09521867221695854,-0.1642438102769864,-0.943639088617286,fio
741,0.27393852976818805,0.3174156106304516,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.22397227894865246,-1.0607918783114492,2.068876243225992,-0.8463575159450196,0.15527912029837768,-0.1642438102769864,-0.9442075756356668,fio
1776,0.21039535124249242,0.3223941367511178,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.13850502201226905,-1.0339258789435501,2.088673263896142,-0.8380494871030959,-0.18198339585112974,-0.1642438102769864,-0.9431463998680225,fio
1145,0.25860052115853727,0.3273726628717844,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.20730665591596678,-1.0502670007067287,1.9302970985349446,-0.8451982561066117,0.16913922370178208,-0.1642438102769864,-0.9446244661158129,fio
162,0.2038219189812133,0.05355372623513965,-0.5760110060571682,-0.760356374248886,-0.9810341298933545,-0.3134940638554723,-1.076249487343737,1.9451448640375568,-0.8455846760527477,0.8944846351466131,-0.1642438102769864,-0.940569258718029,fio
238,0.2958499706391176,0.18050614231212947,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.1468378335286116,-1.074078055180061,1.9698911398752437,-0.8463575159450196,-1.0135896000553946,-0.1642438102769864,-0.9451929531341937,fio
531,0.24545365663597982,0.29501224308745344,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.2031402501577949,-1.0662500808675928,2.0045359260480056,-0.8463575159450196,-0.3113443609495709,-0.1642438102769864,-0.9422747197731717,fio
1786,0.2016307748941204,0.3199048736907847,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.1426714277704403,-1.0336425366683375,2.009485181215543,-0.8463575159450196,-0.5977864979532621,-0.1642438102769864,-0.9420473249658193,fio
378,0.24545365663597982,0.2502055080014571,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.070337937147253,2.03423145705323,-0.8463575159450196,-1.0135896000553946,-0.1642438102769864,-0.9431085007334638,fio
